,id,created_at,text,TEXT,TOKENISASI,STOP_REMOVAL
0,1616582035375808513,2023-01-20 23:42:46+00:00,rt joensmr ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi listyosigitp mohmahfudmd ccicpolri divhumas polri selagi ,RT JoensMr ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi ListyoSigitP mohmahfudmd CCICPolri DivHumas Polri Selagi ,"['rt', 'joensmr', 'ch', 'chotimah2', 'aniesbaswedan', 'abu', 'waras', 'rahmaniarbaftim', 'jokowi', 'listyosigitp', 'mohmahfudmd', 'ccicpolri', 'divhumas', 'polri', 'selagi', '']",rt joensmr ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi listyosigitp mohmahfudmd ccicpolri divhumas polri selagi 
1,1616553039133052929,2023-01-20 21:47:33+00:00,rt humaspolsekwat1 repost divisi humas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co tqdxllbc ,RT HumasPolsekWat1 Repost Divisi Humas Polri Ketua Harian Kompolnas Irjen Pol Purn Dr Benny Jozua Mamoto S H https t co tqDXLLBC ,"['rt', 'humaspolsekwat1', 'repost', 'divisi', 'humas', 'polri', 'ketua', 'harian', 'kompolnas', 'irjen', 'pol', 'purn', 'dr', 'benny', 'jozua', 'mamoto', 's', 'h', 'https', 't', 'co', 'tqdxllbc', '']",rt humaspolsekwat1 repost divisi humas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co tqdxllbc 
2,1616552695195918336,2023-01-20 21:46:11+00:00,repost divisi humas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co tqdxllbcpp mengapresiasi kinerja jajaran divisi humas polri https t co sjfuic9ero,Repost Divisi Humas Polri Ketua Harian Kompolnas Irjen Pol Purn Dr Benny Jozua Mamoto S H https t co tqDXLLBCPp mengapresiasi kinerja jajaran Divisi Humas Polri https t co SjFuic9ErO,"['repost', 'divisi', 'humas', 'polri', 'ketua', 'harian', 'kompolnas', 'irjen', 'pol', 'purn', 'dr', 'benny', 'jozua', 'mamoto', 's', 'h', 'https', 't', 'co', 'tqdxllbcpp', 'mengapresiasi', 'kinerja', 'jajaran', 'divisi', 'humas', 'polri', 'https', 't', 'co', 'sjfuic9ero']",repost divisi humas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co tqdxllbcpp mengapresiasi kinerja jajaran divisi humas polri https t co sjfuic9ero
3,1616468807496921088,2023-01-20 16:12:50+00:00, ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi listyosigitp mohmahfudmd ccicpolri divhumas polri selagi gak ada laporan masuk ya duduk manis di meja mungkin perlu di sidak kinerja bagian cyber nya atau perlu ditambah , ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi ListyoSigitP mohmahfudmd CCICPolri DivHumas Polri Selagi gak ada laporan masuk ya duduk manis di meja Mungkin perlu di sidak kinerja bagian cyber nya atau perlu ditambah ,"['', 'ch', 'chotimah2', 'aniesbaswedan', 'abu', 'waras', 'rahmaniarbaftim', 'jokowi', 'listyosigitp', 'mohmahfudmd', 'ccicpolri', 'divhumas', 'polri', 'selagi', 'gak', 'ada', 'laporan', 'masuk', 'ya', 'duduk', 'manis', 'di', 'meja', 'mungkin', 'perlu', 'di', 'sidak', 'kinerja', 'bagian', 'cyber', 'nya', 'atau', 'perlu', 'ditambah', '']", ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi listyosigitp mohmahfudmd ccicpolri divhumas polri selagi gak laporan masuk ya duduk manis meja sidak kinerja cyber nya ditambah 
4,1616446070153957379,2023-01-20 14:42:29+00:00, jokowi kinerja kepolisian blm menunjukan presisi di polrestabesmdn lprn penipuan blm selesai 4 7 thn sy mohon bantuannya bpk sy sdh menyurati kapolri listyosigitp kapoldasumut propampolri su kompolnas ri kejaksaanri kejatisumut kejarimedan blm jg ada penyelesaian https t co kgzde984ta, jokowi Kinerja kepolisian blm menunjukan presisi di polrestabesmdn lprn penipuan blm selesai 4 7 thn sy mohon bantuannya Bpk Sy sdh menyurati Kapolri ListyoSigitP KAPOLDAsumut propampolri SU kompolnas ri KejaksaanRI kejatisumut KejariMedan Blm jg ada penyelesaian https t co KgZde984ta,"['', 'jokowi', 'kinerja', 'kepolisian', 'blm', 'menunjukan', 'presisi', 'di', 'polrestabesmdn', 'lprn', 'penipuan', 'blm', 'selesai', '4', '7', 'thn', 'sy', 'mohon', 'bantuannya', 'bpk', 'sy', 'sdh', 'menyurati', 'kapolri', 'listyosigitp', 'kapoldasumut', 'propampolri', 'su', 'kompolnas', 'ri', 'kejaksaanri', 'kejatisumut', 'kejarimedan', 'blm', 'jg', 'ada', 'penyelesaian', 'https', 't', 'co', 'kgzde984ta']", jokowi kinerja kepolisian blm menunjukan presisi polrestabesmdn lprn penipuan blm selesai 4 7 thn sy mohon bantuannya bpk sy sdh menyurati kapolri listyosigitp kapoldasumut propampolri su kompolnas ri kejaksaanri kejatisumut kejarimedan blm jg penyelesaian https t co kgzde984ta
5,1616409106050600961,2023-01-20 12:15:36+00:00,rt divhumas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co 4dihjlhgdu mengapresiasi kinerja j ,RT DivHumas Polri Ketua Harian Kompolnas Irjen Pol Purn Dr Benny Jozua Mamoto S H https t co 4DihjLHgDu mengapresiasi kinerja j ,"['rt', 'divhumas', 'polri', 'ketua', 'harian', 'kompolnas', 'irjen', 'pol', 'purn', 'dr', 'benny', 'jozua', 'mamoto', 's', 'h', 'https', 't', 'co', '4dihjlhgdu', 'mengapresiasi', 'kinerja', 'j', '']",rt divhumas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co 4dihjlhgdu mengapresiasi kinerja j 
6,1616397401715273730,2023-01-20 11:29:06+00:00, kompascom ya itulah tabiat kepolisian di indonesia rata rata pada malas menanggapi laporan masyarakat sdh ketahuan diculik mesti nunggu 1x24 jam yg diculik keburu mati atau di apa apain ayo kepolisian kinerja anda hrs berubah kepercayaan masyarakat sdh jatuh didasar jura kpd polisi , kompascom Ya Itulah Tabiat kepolisian di Indonesia rata rata pada malas menanggapi laporan masyarakat sdh ketahuan diculik mesti nunggu 1x24 jam yg diculik keburu mati atau di apa apain ayo kepolisian kinerja anda hrs berubah kepercayaan masyarakat sdh jatuh didasar jura kpd polisi ,"['', 'kompascom', 'ya', 'itulah', 'tabiat', 'kepolisian', 'di', 'indonesia', 'rata', 'rata', 'pada', 'malas', 'menanggapi', 'laporan', 'masyarakat', 'sdh', 'ketahuan', 'diculik', 'mesti', 'nunggu', '1x24', 'jam', 'yg', 'diculik', 'keburu', 'mati', 'atau', 'di', 'apa', 'apain', 'ayo', 'kepolisian', 'kinerja', 'anda', 'hrs', 'berubah', 'kepercayaan', 'masyarakat', 'sdh', 'jatuh', 'didasar', 'jura', 'kpd', 'polisi', '']", kompascom ya tabiat kepolisian indonesia malas menanggapi laporan masyarakat sdh ketahuan diculik mesti nunggu 1x24 jam yg diculik keburu mati apain ayo kepolisian kinerja hrs berubah kepercayaan masyarakat sdh jatuh didasar jura kpd polisi 
7,1616392825582800897,2023-01-20 11:10:55+00:00,rt humasreswaropen apel pagi awal kinerja polri yang presisi divisihumaspolri poldapapua polreswaropen polripresisi papua warope ,RT humasreswaropen Apel Pagi Awal Kinerja Polri Yang Presisi DivisiHumasPolri PoldaPapua PolresWaropen PolriPresisi Papua Warope ,"['rt', 'humasreswaropen', 'apel', 'pagi', 'awal', 'kinerja', 'polri', 'yang', 'presisi', 'divisihumaspolri', 'poldapapua', 'polreswaropen', 'polripresisi', 'papua', 'warope', '']",rt humasreswaropen apel pagi kinerja polri presisi divisihumaspolri poldapapua polreswaropen polripresisi papua warope 
8,1616392184206618624,2023-01-20 11:08:22+00:00,rt humasreswaropen apel pagi awal kinerja polri yang presisi divisihumaspolri poldapapua polreswaropen polripresisi papua warope ,RT humasreswaropen Apel Pagi Awal Kinerja Polri Yang Presisi DivisiHumasPolri PoldaPapua PolresWaropen PolriPresisi Papua Warope ,"['rt', 'humasreswaropen', 'apel', 'pagi', 'awal', 'kinerja', 'polri', 'yang', 'presisi', 'divisihumaspolri', 'poldapapua', 'polreswaropen', 'polripresisi', 'papua', 'warope', '']",rt humasreswaropen apel pagi kinerja polri presisi divisihumaspolri poldapapua polreswaropen polripresisi papua warope 
9,1616391565488054274,2023-01-20 11:05:54+00:00,rt divhumas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co 4dihjlhgdu mengapresiasi kinerja j ,RT DivHumas Polri Ketua Harian Kompolnas Irjen Pol Purn Dr Benny Jozua Mamoto S H https t co 4DihjLHgDu mengapresiasi kinerja j ,"['rt', 'divhumas', 'polri', 'ketua', 'harian', 'kompolnas', 'irjen', 'pol', 'purn', 'dr', 'benny', 'jozua', 'mamoto', 's', 'h', 'https', 't', 'co', '4dihjlhgdu', 'mengapresiasi', 'kinerja', 'j', '']",rt divhumas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co 4dihjlhgdu mengapresiasi kinerja j 
