id;created_at;text;TEXT.1;TOKENISASI;STOP_REMOVAL;label
1,61655E+18;21/01/2023 04:46;repost divisi humas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co tqdxllbcpp mengapresiasi kinerja jajaran divisi humas polri https t co sjfuic9ero;Repost Divisi Humas Polri Ketua Harian Kompolnas Irjen Pol Purn Dr Benny Jozua Mamoto S H https t co tqDXLLBCPp mengapresiasi kinerja jajaran Divisi Humas Polri https t co SjFuic9ErO;['repost', 'divisi', 'humas', 'polri', 'ketua', 'harian', 'kompolnas', 'irjen', 'pol', 'purn', 'dr', 'benny', 'jozua', 'mamoto', 's', 'h', 'https', 't', 'co', 'tqdxllbcpp', 'mengapresiasi', 'kinerja', 'jajaran', 'divisi', 'humas', 'polri', 'https', 't', 'co', 'sjfuic9ero'];repost divisi humas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co tqdxllbcpp mengapresiasi kinerja jajaran divisi humas polri https t co sjfuic9ero;positif
1,61647E+18;20/01/2023 23:12; ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi listyosigitp mohmahfudmd ccicpolri divhumas polri selagi gak ada laporan masuk ya duduk manis di meja mungkin perlu di sidak kinerja bagian cyber nya atau perlu ditambah ; ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi ListyoSigitP mohmahfudmd CCICPolri DivHumas Polri Selagi gak ada laporan masuk ya duduk manis di meja Mungkin perlu di sidak kinerja bagian cyber nya atau perlu ditambah ;['', 'ch', 'chotimah2', 'aniesbaswedan', 'abu', 'waras', 'rahmaniarbaftim', 'jokowi', 'listyosigitp', 'mohmahfudmd', 'ccicpolri', 'divhumas', 'polri', 'selagi', 'gak', 'ada', 'laporan', 'masuk', 'ya', 'duduk', 'manis', 'di', 'meja', 'mungkin', 'perlu', 'di', 'sidak', 'kinerja', 'bagian', 'cyber', 'nya', 'atau', 'perlu', 'ditambah', '']; ch chotimah2 aniesbaswedan abu waras rahmaniarbaftim jokowi listyosigitp mohmahfudmd ccicpolri divhumas polri selagi gak laporan masuk ya duduk manis meja sidak kinerja cyber nya ditambah ;negatif
1,61645E+18;20/01/2023 21:42; jokowi kinerja kepolisian blm menunjukan presisi di polrestabesmdn lprn penipuan blm selesai 4 7 thn sy mohon bantuannya bpk sy sdh menyurati kapolri listyosigitp kapoldasumut propampolri su kompolnas ri kejaksaanri kejatisumut kejarimedan blm jg ada penyelesaian https t co kgzde984ta; jokowi Kinerja kepolisian blm menunjukan presisi di polrestabesmdn lprn penipuan blm selesai 4 7 thn sy mohon bantuannya Bpk Sy sdh menyurati Kapolri ListyoSigitP KAPOLDAsumut propampolri SU kompolnas ri KejaksaanRI kejatisumut KejariMedan Blm jg ada penyelesaian https t co KgZde984ta;['', 'jokowi', 'kinerja', 'kepolisian', 'blm', 'menunjukan', 'presisi', 'di', 'polrestabesmdn', 'lprn', 'penipuan', 'blm', 'selesai', '4', '7', 'thn', 'sy', 'mohon', 'bantuannya', 'bpk', 'sy', 'sdh', 'menyurati', 'kapolri', 'listyosigitp', 'kapoldasumut', 'propampolri', 'su', 'kompolnas', 'ri', 'kejaksaanri', 'kejatisumut', 'kejarimedan', 'blm', 'jg', 'ada', 'penyelesaian', 'https', 't', 'co', 'kgzde984ta']; jokowi kinerja kepolisian blm menunjukan presisi polrestabesmdn lprn penipuan blm selesai 4 7 thn sy mohon bantuannya bpk sy sdh menyurati kapolri listyosigitp kapoldasumut propampolri su kompolnas ri kejaksaanri kejatisumut kejarimedan blm jg penyelesaian https t co kgzde984ta;negatif
1,6164E+18;20/01/2023 18:29; kompascom ya itulah tabiat kepolisian di indonesia rata rata pada malas menanggapi laporan masyarakat sdh ketahuan diculik mesti nunggu 1x24 jam yg diculik keburu mati atau di apa apain ayo kepolisian kinerja anda hrs berubah kepercayaan masyarakat sdh jatuh didasar jura kpd polisi ; kompascom Ya Itulah Tabiat kepolisian di Indonesia rata rata pada malas menanggapi laporan masyarakat sdh ketahuan diculik mesti nunggu 1x24 jam yg diculik keburu mati atau di apa apain ayo kepolisian kinerja anda hrs berubah kepercayaan masyarakat sdh jatuh didasar jura kpd polisi ;['', 'kompascom', 'ya', 'itulah', 'tabiat', 'kepolisian', 'di', 'indonesia', 'rata', 'rata', 'pada', 'malas', 'menanggapi', 'laporan', 'masyarakat', 'sdh', 'ketahuan', 'diculik', 'mesti', 'nunggu', '1x24', 'jam', 'yg', 'diculik', 'keburu', 'mati', 'atau', 'di', 'apa', 'apain', 'ayo', 'kepolisian', 'kinerja', 'anda', 'hrs', 'berubah', 'kepercayaan', 'masyarakat', 'sdh', 'jatuh', 'didasar', 'jura', 'kpd', 'polisi', '']; kompascom ya tabiat kepolisian indonesia malas menanggapi laporan masyarakat sdh ketahuan diculik mesti nunggu 1x24 jam yg diculik keburu mati apain ayo kepolisian kinerja hrs berubah kepercayaan masyarakat sdh jatuh didasar jura kpd polisi ;negatif
1,61639E+18;20/01/2023 18:05;rt divhumas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co 4dihjlhgdu mengapresiasi kinerja j ;RT DivHumas Polri Ketua Harian Kompolnas Irjen Pol Purn Dr Benny Jozua Mamoto S H https t co 4DihjLHgDu mengapresiasi kinerja j ;['rt', 'divhumas', 'polri', 'ketua', 'harian', 'kompolnas', 'irjen', 'pol', 'purn', 'dr', 'benny', 'jozua', 'mamoto', 's', 'h', 'https', 't', 'co', '4dihjlhgdu', 'mengapresiasi', 'kinerja', 'j', ''];rt divhumas polri ketua harian kompolnas irjen pol purn dr benny jozua mamoto s h https t co 4dihjlhgdu mengapresiasi kinerja j ;positif
1,61638E+18;20/01/2023 17:05;ketua karang taruna kota banjar apresiasi keberhasilan kinerja polri dalam pengamanan dari https t co rqlldrask4 karangtaruna pemuda karangtarunaindonesia trending;Ketua Karang Taruna Kota Banjar Apresiasi Keberhasilan Kinerja Polri Dalam Pengamanan dari https t co RqLlDrASK4 karangtaruna pemuda karangtarunaindonesia trending;['ketua', 'karang', 'taruna', 'kota', 'banjar', 'apresiasi', 'keberhasilan', 'kinerja', 'polri', 'dalam', 'pengamanan', 'dari', 'https', 't', 'co', 'rqlldrask4', 'karangtaruna', 'pemuda', 'karangtarunaindonesia', 'trending'];ketua karang taruna kota banjar apresiasi keberhasilan kinerja polri pengamanan https t co rqlldrask4 karangtaruna pemuda karangtarunaindonesia trending;positif
1,61634E+18;20/01/2023 14:48;wali kota bandung apresiasi kinerja dan kolaborasi polri dalam wujudkan keamanan kota https t co wotp87t97z;Wali Kota Bandung Apresiasi Kinerja dan Kolaborasi Polri Dalam Wujudkan Keamanan Kota https t co woTP87T97z;['wali', 'kota', 'bandung', 'apresiasi', 'kinerja', 'dan', 'kolaborasi', 'polri', 'dalam', 'wujudkan', 'keamanan', 'kota', 'https', 't', 'co', 'wotp87t97z'];wali kota bandung apresiasi kinerja kolaborasi polri wujudkan keamanan kota https t co wotp87t97z;positif
1,61634E+18;20/01/2023 14:35; davinsaputro terima kasih sobat polri atas apresiasinya kami akan terus meningkatkan kinerja dalam melaksanakan tugas mohon doa dan dukungannya tanpa bantuan masyarakat kami bukan lah apa apa kami akan bekerja secara peofesional guna mendapatkan kepercayaan dari masyarakat ; DavinSaputro Terima kasih sobat Polri atas apresiasinya kami akan terus meningkatkan kinerja dalam melaksanakan tugas mohon doa dan dukungannya Tanpa bantuan masyarakat kami bukan lah apa apa Kami akan bekerja secara peofesional guna mendapatkan kepercayaan dari masyarakat ;['', 'davinsaputro', 'terima', 'kasih', 'sobat', 'polri', 'atas', 'apresiasinya', 'kami', 'akan', 'terus', 'meningkatkan', 'kinerja', 'dalam', 'melaksanakan', 'tugas', 'mohon', 'doa', 'dan', 'dukungannya', 'tanpa', 'bantuan', 'masyarakat', 'kami', 'bukan', 'lah', 'apa', 'apa', 'kami', 'akan', 'bekerja', 'secara', 'peofesional', 'guna', 'mendapatkan', 'kepercayaan', 'dari', 'masyarakat', '']; davinsaputro terima kasih sobat polri apresiasinya meningkatkan kinerja melaksanakan tugas mohon doa dukungannya bantuan masyarakat peofesional kepercayaan masyarakat ;positif
1,61633E+18;20/01/2023 14:11; benhadiwijaya hadoohh sudah banyak yg ditangkap bahkan mati juga sudah banyak tp pastilah ada yg lolos selalu ada usaha memperbaiki banyak polisi yg rusak banyak juga tp dukung kinerja polisi yg baik; BenHadiwijaya Hadoohh Sudah banyak yg ditangkap Bahkan mati juga sudah banyak Tp pastilah ada yg lolos Selalu ada usaha memperbaiki Banyak polisi yg rusak Banyak juga Tp dukung kinerja polisi yg baik;['', 'benhadiwijaya', 'hadoohh', 'sudah', 'banyak', 'yg', 'ditangkap', 'bahkan', 'mati', 'juga', 'sudah', 'banyak', 'tp', 'pastilah', 'ada', 'yg', 'lolos', 'selalu', 'ada', 'usaha', 'memperbaiki', 'banyak', 'polisi', 'yg', 'rusak', 'banyak', 'juga', 'tp', 'dukung', 'kinerja', 'polisi', 'yg', 'baik']; benhadiwijaya hadoohh yg ditangkap mati tp yg lolos usaha memperbaiki polisi yg rusak tp dukung kinerja polisi yg;negatif
1,61632E+18;20/01/2023 13:37;gubernur jawa barat apresiasi kinerja kepolisian selama tahun 2022 gubernur provinsi jawa barat ridwan kamil atau yang akrab disapa kang emil ini mengapresiasi kinerja yang dilakukan oleh anggota kepolisian selama tahun 2022 polisipenolongpresisi https t co oqgucdp24x;GUBERNUR JAWA BARAT APRESIASI KINERJA KEPOLISIAN SELAMA TAHUN 2022 Gubernur Provinsi Jawa Barat Ridwan Kamil atau yang akrab disapa Kang Emil ini mengapresiasi kinerja yang dilakukan oleh anggota kepolisian selama tahun 2022 POLISIPENOLONGPRESISI https t co oqgUCdP24x;['gubernur', 'jawa', 'barat', 'apresiasi', 'kinerja', 'kepolisian', 'selama', 'tahun', '2022', 'gubernur', 'provinsi', 'jawa', 'barat', 'ridwan', 'kamil', 'atau', 'yang', 'akrab', 'disapa', 'kang', 'emil', 'ini', 'mengapresiasi', 'kinerja', 'yang', 'dilakukan', 'oleh', 'anggota', 'kepolisian', 'selama', 'tahun', '2022', 'polisipenolongpresisi', 'https', 't', 'co', 'oqgucdp24x'];gubernur jawa barat apresiasi kinerja kepolisian 2022 gubernur provinsi jawa barat ridwan kamil akrab disapa kang emil mengapresiasi kinerja anggota kepolisian 2022 polisipenolongpresisi https t co oqgucdp24x;positif
